X,Y,LATITUDE,LONGITUDE,LABEL,NAME,REGION,TYPE,Established,Last_CheckUp
1757116.045,5921215.785,-36.8419111,174.7621034,Wero Container - Viaduct�,Wero Container - Viaduct�,Auckland Central Little Libraries,,,
1757535.875,5920570.043,-36.8476596,174.7669438,Ellen Melville Centre,Ellen Melville Centre,Auckland Central Little Libraries,,,
1756998.623,5920301.054,-36.8501727,174.7609761,St Matthew-in-the-City,St Matthew-in-the-City,Auckland Central Little Libraries,,,
1751246.79,5913865.789,-36.9090967,174.6977703,Miranda Street & Ruahine Street,Miranda Street & Ruahine Street,Auckland Central Little Libraries,,,
1761419.43,5915082.261,-36.8964498,174.8116504,Arthur St,Arthur St,Auckland Central Little Libraries,,,
1757883.224,5916848.635,-36.8811327,174.7716122,Little Free Library,Little Free Library,Auckland Central Little Libraries,,,
1767137.325,5920091.148,-36.8503252,174.8746895,Riddell road; beside dairy,Riddell road; beside dairy,Auckland Central Little Libraries,,,
1765456.727,5917512.843,-36.8738512,174.8564102,Little Free Library,Little Free Library,Auckland Central Little Libraries,,,
1766315.535,5916764.54,-36.8804424,174.8662054,122 Elstree Avenue,122 Elstree Avenue,Auckland Central Little Libraries,,,
1759651.822,5915260.546,-36.8951442,174.7917834,Little Free Library,Little Free Library,Auckland Central Little Libraries,,,
1754810.53,5919883.374,-36.8542972,174.7365288,Beside 215 Richmond Road,Beside 215 Richmond Road,Auckland Central Little Libraries,,,
1754610.202,5919698.39,-36.8559968,174.7343203,BestStart Grey Lynn,BestStart Grey Lynn,Auckland Central Little Libraries,,,
1754835.695,5919993.509,-36.8533007,174.7367885,Moira st,Moira st,Auckland Central Little Libraries,,,
1765042.749,5965583.826,-36.4407918,174.8414199,South Cove Wharf Shed,South Cove Wharf Shed,Auckland Central Little Libraries,,,
1764060.611,5920092.419,-36.8508529,174.8401957,Kohimarama Presbyterian Church,Kohimarama Presbyterian Church,Auckland Central Little Libraries,,,
1754096.236,5917502.242,-36.8758692,174.7290033,21 Malvern Road,21 Malvern Road,Auckland Central Little Libraries,,,
1753126.139,5916447.427,-36.8855315,174.718336,Little Free Library,Little Free Library,Auckland Central Little Libraries,,,
1753262.461,5917477.695,-36.8762261,174.7196569,45 Martin Avenue,45 Martin Avenue,Auckland Central Little Libraries,,,
1755774.009,5916558.152,-36.8841005,174.7480144,443 Dominion Road,443 Dominion Road,Auckland Central Little Libraries,,,
1756039.998,5917880.243,-36.872144,174.7507259,Monkey Hill Community Library,Monkey Hill Community Library,Auckland Central Little Libraries,,,
1755710.077,5915382.948,-36.8947001,174.7475387,Shackleton Road,Shackleton Road,Auckland Central Little Libraries,,,
1755196.487,5914427.545,-36.9033933,174.7419728,Mt Roskill Electorate Office M Wood MP,Mt Roskill Electorate Office M Wood MP,Auckland Central Little Libraries,,,
1764528.537,5911044.278,-36.9322944,174.8474059,Camp Road Chalk Fence Art and Little Free Library,Camp Road Chalk Fence Art and Little Free Library,Auckland Central Little Libraries,,,
1759554.453,5912250.028,-36.9222859,174.7913254,154 Church St,154 Church St,Auckland Central Little Libraries,,,
1758975.759,5912938.715,-36.9161785,174.7846866,Tin Tacks Reserve,Tin Tacks Reserve,Auckland Central Little Libraries,,,
1758211.209,5912195.271,-36.9230057,174.7762628,Horns Reserve,Horns Reserve,Auckland Central Little Libraries,,,
1759003.11,5912228.538,-36.9225727,174.7851427,Little Free Library,Little Free Library,Auckland Central Little Libraries,,,
1759776.99,5912995.324,-36.915533,174.7936654,Little Free Library,Little Free Library,Auckland Central Little Libraries,,,
1758622.216,5911934.901,-36.9252826,174.7809298,DPS Creative Company Ltd,DPS Creative Company Ltd,Auckland Central Little Libraries,,,
1760181.79,5913676.337,-36.9093283,174.7980636,The Christian Community,The Christian Community,Auckland Central Little Libraries,,,
1764363.252,5909638.697,-36.9449873,174.8458564,Otahuhu Town Hall,Otahuhu Town Hall,Auckland Central Little Libraries,,,
1751975.327,5920174.106,-36.8521378,174.7046807,Coyle Park Playground,Coyle Park Playground,Auckland Central Little Libraries,,,
1752201.03,5918506.051,-36.8671317,174.7075458,Bethel Chinese Fellowship,Bethel Chinese Fellowship,Auckland Central Little Libraries,,,
1753841.402,5919366.978,-36.8591085,174.7257671,Well park Reserve,Well park Reserve,Auckland Central Little Libraries,,,
1751934.517,5919014.962,-36.862589,174.7044551,Cnr Wainui & Pt Chev,Cnr Wainui & Pt Chev,Auckland Central Little Libraries,,,
1755202.356,5920246.519,-36.8509608,174.7408479,Tole Reserve Playground,Tole Reserve Playground,Auckland Central Little Libraries,,,
1755419.548,5919767.433,-36.8552419,174.7433811,Norfolk Reserve,Norfolk Reserve,Auckland Central Little Libraries,,,
1754500.087,5920049.825,-36.8528482,174.7330141,Tawariki St,Tawariki St,Auckland Central Little Libraries,,,
1760252.892,5918075.092,-36.8696828,174.7979314,11 Ingram Road,11 Ingram Road,Auckland Central Little Libraries,,,
1758114.823,5913979.431,-36.9069462,174.7748085,Manukau Road,Manukau Road,Auckland Central Little Libraries,,,
1764256.828,5918415.833,-36.8659248,174.8427583,Ashwell St,Ashwell St,Auckland Central Little Libraries,,,
1755168.626,5915678.64,-36.892125,174.741404,Little Free Library Halesowen,Little Free Library Halesowen,Auckland Central Little Libraries,,,
1755030.91,5917079.653,-36.8795239,174.7395726,Sandringham Kindergarten,Sandringham Kindergarten,Auckland Central Little Libraries,,,
1753820.473,5920022.555,-36.8532048,174.7253996,Nottingham st,Nottingham st,Auckland Central Little Libraries,,,
1753668.034,5919372.862,-36.8590837,174.7238219,85 Garnet Road,85 Garnet Road,Auckland Central Little Libraries,,,
1764554.453,5918176.086,-36.8680331,174.8461477,St Thomas Anglican Church,St Thomas Anglican Church,North Auckland,,,
1750556.355,5930910.232,-36.7556238,174.6866471,Schnapper Rock Rd,Schnapper Rock Rd,North Auckland,,,
1752208.599,5929101.813,-36.7716553,174.7055103,Bayview Community Centre,Bayview Community Centre,North Auckland,,,
1752537.697,5928828.371,-36.7740663,174.7092511,34A Bayview Road,34A Bayview Road,North Auckland,,,
1754442.412,5924076.951,-36.816571,174.7315491,Highbury Community House & Early Learning Centre,Highbury Community House & Early Learning Centre,North Auckland,,,
1760100.178,5924727.76,-36.8097666,174.7948171,Wicklow Road,Wicklow Road,North Auckland,,,
1760562.985,5922682.776,-36.828114,174.8004348,3 Saint Aubyn Street,3 Saint Aubyn Street,North Auckland,,,
1759579.653,5923981.128,-36.8165819,174.7891409,Wesley st,Wesley st,North Auckland,,,
1759383.85,5923859.445,-36.8177113,174.7869721,64 Ngataringa Road,64 Ngataringa Road,North Auckland,,,
1753680.92,5928097.237,-36.7804696,174.7222036,96 Bentley Avenue,96 Bentley Avenue,North Auckland,,,
1752900.859,5927039.432,-36.7901274,174.7136778,Windy Ridge Reserve,Windy Ridge Reserve,North Auckland,,,
1758811.103,5926256.232,-36.7962117,174.7800533,Hauraki Rd,Hauraki Rd,North Auckland,,,
1755832.776,5938297.1,-36.6882108,174.744227,19 Headland Drive,19 Headland Drive,North Auckland,,,
1756263.633,5932857.956,-36.7371503,174.7501591,10 Jutland Street,10 Jutland Street,North Auckland,,,
1751121.207,5950346.543,-36.5803934,174.6891395,Centreway Rd,Centreway Rd,North Auckland,,,
1756366.832,5934360.062,-36.7235984,174.751007,Rothesay Bay Hall,Rothesay Bay Hall,North Auckland,,,
